ts_utc,flow_key_pid,flow_src_ip,flow_dst_ip,flow_proto,pid,proc_name,label,score,total_pkts,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51
2026-01-23T14:03:40.895929Z,27376,172.19.0.1,52.138.229.66,6,27376,Code,Normal Traffic,0.999991,9,443,2232613.0867004395,9,7576,2367.0,24.0,841.7777777777778,936.994103832721,0.0,0.0,0.0,0.0,3393.33315079529,4.0311507863196425,279076.63583755493,652534.1850811996,2004147.0527648926,485.1818084716797,2232613.0867004395,279076.63583755493,652534.1850811996,2004147.0527648926,485.1818084716797,0.0,0.0,0.0,0.0,0.0,360,0,4.0311507863196425,0.0,24.0,2367.0,841.7777777777778,936.994103832721,877957.9506172838,0,0,0,841.7777777777778,7576,0,0,7,59,228466.03393554688,228466.03393554688,228466.03393554688,2004147.0527648926,2004147.0527648926,2004147.0527648926
2026-01-23T14:03:45.901945Z,12672,172.19.0.1,13.69.68.64,6,12672,Code,Normal Traffic,0.999960,2,443,148833.9900970459,2,1231,834.0,397.0,615.5,218.5,0.0,0.0,0.0,0.0,8270.960142890326,13.43779064645057,148833.9900970459,0.0,148833.9900970459,148833.9900970459,148833.9900970459,148833.9900970459,0.0,148833.9900970459,148833.9900970459,0.0,0.0,0.0,0.0,0.0,80,0,13.43779064645057,0.0,397.0,834.0,615.5,218.5,47742.25,0,0,0,615.5,1231,0,0,2,357,148833.9900970459,148833.9900970459,148833.9900970459,0.0,0,0
2026-01-23T14:03:50.905559Z,25188,192.168.0.48,149.154.167.41,6,25188,Telegram,Normal Traffic,0.999996,45,443,10981698.989868164,45,122058,27280.0,89.0,2712.4,3970.5346261905047,0.0,0.0,0.0,0.0,11114.673614038415,4.097726594174316,249584.0679515492,1501021.0384771824,10090752.124786377,5.0067901611328125,10981698.989868164,249584.0679515492,1501021.0384771824,10090752.124786377,5.0067901611328125,0.0,0.0,0.0,0.0,0.0,1800,0,4.097726594174316,0.0,89.0,27280.0,2712.4,3970.5346261905047,15765145.21777777,0,0,0,2712.4,122058,0,0,45,49,445473.43254089355,890938.0435943604,8.821487426757812,10090752.124786377,10090752.124786377,10090752.124786377
2026-01-23T14:03:50.907559Z,22292,172.19.0.1,82.97.252.141,6,22292,brave,Normal Traffic,0.999997,6,443,814920.18699646,6,5985,2217.0,64.0,997.5,890.1765274371146,0.0,0.0,0.0,0.0,7344.277507787397,7.3626842183332295,162984.037399292,293919.4509592316,749899.14894104,0.0,814920.18699646,162984.037399292,293919.4509592316,749899.14894104,0.0,0.0,0.0,0.0,0.0,0.0,240,0,7.3626842183332295,0.0,64.0,2217.0,997.5,890.1765274371146,792414.25,0,0,0,997.5,5985,0,0,6,24,814920.18699646,814920.18699646,814920.18699646,0.0,0,0
2026-01-23T14:03:50.910560Z,16272,192.168.0.48,82.97.252.141,6,16272,Hiddify,Normal Traffic,0.999962,5,443,771260.9767913818,5,5985,2217.0,79.0,1197.0,867.5074639448354,0.0,0.0,0.0,0.0,7760.019215413878,6.482889904272246,192815.24419784546,321795.1067452461,750047.9221343994,1191.854476928711,771260.9767913818,192815.24419784546,321795.1067452461,750047.9221343994,1191.854476928711,0.0,0.0,0.0,0.0,0.0,200,0,6.482889904272246,0.0,79.0,2217.0,1197.0,867.5074639448354,752569.2,0,0,0,1197.0,5985,0,0,5,39,771260.9767913818,771260.9767913818,771260.9767913818,0.0,0,0
2026-01-23T14:03:51.912827Z,22292,172.19.0.1,35.164.1.57,6,22292,brave,Normal Traffic,0.999997,6,443,322463.9892578125,6,1026,454.0,35.0,171.0,167.27721502543815,0.0,0.0,0.0,0.0,3181.750626981498,18.6067288127573,64492.7978515625,72582.86831149031,204411.98348999023,0.95367431640625,322463.9892578125,64492.7978515625,72582.86831149031,204411.98348999023,0.95367431640625,0.0,0.0,0.0,0.0,0.0,240,0,18.6067288127573,0.0,35.0,454.0,171.0,167.27721502543815,27981.66666666667,0,0,0,171.0,1026,0,0,3,72,322463.9892578125,322463.9892578125,322463.9892578125,0.0,0,0
2026-01-23T14:04:04.919247Z,2400,172.19.0.1,172.19.0.2,17,2400,svchost,Normal Traffic,0.999997,4,53,95661.16333007812,2,409,371.0,38.0,204.5,166.5,249.0,38.0,143.5,105.5,7275.679866012681,41.814252103521156,31887.054443359375,45069.6505578791,95625.16212463379,0.0,95661.16333007812,95661.16333007812,0.0,95661.16333007812,95661.16333007812,95625.16212463379,95625.16212463379,0.0,95625.16212463379,95625.16212463379,56,56,20.907126051760578,20.907126051760578,38.0,371.0,174.0,142.67620684613115,20356.5,0,0,0,174.0,409,0,0,0,0,95661.16333007812,95661.16333007812,95661.16333007812,0.0,0,0
2026-01-23T14:04:05.922237Z,11156,172.19.0.1,23.41.187.7,6,11156,gamingservices,Normal Traffic,0.999995,11,443,821984.052658081,11,5627,3535.0,0.0,511.54545454545456,975.923466041394,0.0,0.0,0.0,0.0,6845.631593221007,13.382254758384766,82198.4052658081,185288.05049512483,631080.150604248,0.0,821984.052658081,82198.4052658081,185288.05049512483,631080.150604248,0.0,0.0,0.0,0.0,0.0,0.0,440,0,13.382254758384766,0.0,0.0,3535.0,511.54545454545456,975.923466041394,952426.6115702479,0,0,0,511.54545454545456,5627,0,0,8,40,821984.052658081,821984.052658081,821984.052658081,0.0,0,0
2026-01-23T14:04:11.927262Z,22292,172.19.0.1,9.9.9.9,6,22292,brave,Normal Traffic,0.999999,39,443,22250794.172286987,21,2947,722.0,24.0,140.33333333333334,162.09060762229586,3627.0,24.0,918.3888888888889,1177.2882748497777,875.3844851191667,1.7527464277465603,585547.2150601839,2382776.0264719776,13873723.983764648,0.0,22250773.191452026,1112538.6595726013,4508985.68257151,20732087.13531494,0.0,6858384.132385254,403434.36072854436,1371499.530684984,5872033.11920166,0.0,840,720,0.9437865380173787,0.8089598897291816,24.0,3627.0,499.43589743589746,896.8222473415559,804290.1433267589,0,0,0,499.43589743589746,2947,0,0,33,16,316662.4903678894,986351.0131835938,20.9808349609375,6994714.736938477,13873723.983764648,1238408.088684082
2026-01-23T14:04:12.929988Z,16272,192.168.0.48,1.1.1.1,17,16272,Hiddify,Normal Traffic,0.999920,18,53,26497973.918914795,18,1827,285.0,29.0,101.5,81.22550912941902,0.0,0.0,0.0,0.0,68.9486677581734,0.6792972192923487,1558704.3481714586,3549967.567277352,14121741.05644226,0.95367431640625,26497973.918914795,1558704.3481714586,3549967.567277352,14121741.05644226,0.95367431640625,0.0,0.0,0.0,0.0,0.0,504,0,0.6792972192923487,0.0,29.0,285.0,101.5,81.22550912941902,6597.583333333333,0,0,0,101.5,1827,0,0,0,0,45156.76498413086,88575.12474060059,14770.984649658203,6568047.523498535,14121741.05644226,2099395.0366973877
